   0.92299,   0.03662,   0.01066,   0.02972,   0.33333
   0.07359,   0.08018,   0.05126,   0.79496,   1.00000
   0.00001,   0.00164,   0.00060,   0.99776,   1.00000
   0.91701,   0.05369,   0.00619,   0.02311,   0.33333
   0.95790,   0.02391,   0.00702,   0.01117,   0.00000
   0.89911,   0.03472,   0.01317,   0.05300,   1.00000
   0.88868,   0.03774,   0.01130,   0.06228,   0.00000
   0.90740,   0.05957,   0.00878,   0.02425,   0.00000
   0.63624,   0.08288,   0.05541,   0.22547,   0.33333
   0.56307,   0.13710,   0.08929,   0.21054,   1.00000
   0.96345,   0.02515,   0.00395,   0.00744,   0.00000
   0.80549,   0.07850,   0.01249,   0.10353,   0.00000
   0.87898,   0.04515,   0.01535,   0.06052,   0.00000
   0.86153,   0.05331,   0.00768,   0.07748,   0.00000
   0.81936,   0.07055,   0.05285,   0.05723,   0.00000
   0.39492,   0.31761,   0.05681,   0.23066,   0.33333
   0.78767,   0.08629,   0.02970,   0.09635,   0.00000
   0.61122,   0.04452,   0.04071,   0.30355,   0.00000
   0.27329,   0.06064,   0.03323,   0.63284,   1.00000
   0.94402,   0.02270,   0.00790,   0.02538,   0.00000
   0.48086,   0.02802,   0.03708,   0.45404,   1.00000
   0.74590,   0.10509,   0.02781,   0.12119,   0.33333
   0.90542,   0.03525,   0.00891,   0.05043,   0.33333
   0.00059,   0.00012,   0.00043,   0.99886,   1.00000
   0.58180,   0.13084,   0.12573,   0.16162,   0.00000
   0.73298,   0.10385,   0.07020,   0.09297,   0.00000
   0.13266,   0.26883,   0.22486,   0.37365,   1.00000
   0.88467,   0.01619,   0.01512,   0.08403,   0.00000
   0.74931,   0.05759,   0.04041,   0.15269,   1.00000
   0.96895,   0.01538,   0.00937,   0.00630,   0.00000
   0.44542,   0.06128,   0.03083,   0.46248,   0.00000
   0.90387,   0.03693,   0.00944,   0.04976,   0.00000
   0.00023,   0.00048,   0.00055,   0.99874,   1.00000
   0.43464,   0.18275,   0.08910,   0.29351,   0.33333
   0.90132,   0.03724,   0.00964,   0.05179,   0.00000
   0.01071,   0.00759,   0.00793,   0.97377,   1.00000
   0.00002,   0.02800,   0.00252,   0.96946,   0.66667
   0.85190,   0.03506,   0.02425,   0.08878,   0.33333
